Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/11/2017,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,INGLESIDE,NONE,0 Block of BISHOP ST,-122.404323,37.71846904
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,MISSION,NONE,24TH ST / YORK ST,-122.4081924,37.75285342
7/11/2017,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Tuesday,TARAVAL,NONE,1800 Block of 10TH AV,-122.466733,37.75371459
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,CLAY ST / STOCKTON ST,-122.4079047,37.79405897
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,17TH AV / TARAVAL ST,-122.4735539,37.74314327
7/11/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,CENTRAL,NONE,PACIFIC AV / POWELL ST,-122.4100789,37.79649324
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,800 Block of PINE ST,-122.4098045,37.79092861
7/11/2017,LARCENY/THEFT,PETTY THEFT BICYCLE,Tuesday,SOUTHERN,NONE,500 Block of MARKET ST,-122.400923,37.78976018
7/11/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,POINTLOBOS AV / 48TH AV,-122.5094331,37.77984908
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,PARK,NONE,16TH ST / CASTRO ST,-122.4353184,37.76410203
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,MISSION,NONE,24TH ST / HARRISON ST,-122.4119022,37.75262848
7/11/2017,DRUG/NARCOTIC,SALE OF METH-AMPHETAMINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428
7/11/2017,OTHER OFFENSES,RESISTING ARREST,Tuesday,MISSION,"ARREST, BOOKED",COLLINGWOOD ST / MARKET ST,-122.436243,37.76213652
7/11/2017,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Tuesday,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422
7/11/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,NORTHERN,NONE,1400 Block of SUTTER ST,-122.4242301,37.78717856
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,600 Block of NORTHPOINT ST,-122.4177555,37.80611158
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,TAYLOR ST / FILBERT ST,-122.4143048,37.80075932
7/11/2017,ASSAULT,ATTEMPTED SIMPLE ASSAULT,Tuesday,TENDERLOIN,NONE,0 Block of TURK ST,-122.4098537,37.78338624
